Series,Episode,Episode Title,IMDb Rating (/10)
S1,E1,Melon Buffet,8
S1,E2,The Pie Whisperer,8.3
S1,E3,The Poet and the Egg,8.2
S1,E4,Down an Octave,8.2
S1,E5,Little Denim Shorts,8.1
S1,E6,The Last Supper,7.9
S2,E1,Fear of Failure,8.3
S2,E2,Pork Is a Sausage,8
S2,E3,A Pistachio Éclair,8
S2,E4,Welcome to Rico Face,8
S2,E5,There's Strength in Arches,8.2
S3,E1,Pea in a Haystack,8.1
S3,E2,The Dong and the Gong,8.2
S3,E3,Little Polythene Grief Cave,8.1
S3,E4,A Very Nuanced Character,8
S3,E5,The F.I.P.,8.1
S4,E1,A Fat Bald White Man,8.2
S4,E2,Look at Me,8.2
S4,E3,Hollowing Out a Baguette,8.3
S4,E4,Friendship Is Truth,7.9
S4,E5,Meat,8.2
S4,E6,Spatchcock It,7.9
S4,E7,No Stars for Naughty Boys,8.2
S4,E8,Tony Three Pies,8.4
S5,E1,Dignity Intact,7.9
S5,E2,The Leprechaun or the Lesbian,7.9
S5,E3,Phoenix,8
S5,E4,Residue Around the Hoof,7.8
S5,E5,A Wind-Dried Puffin,8.3
S5,E6,Spoony Neeson,8.2
S5,E7,Boing Boing,8
S5,E8,Their Water's So Delicious,8.8
S6,E1,"The Old, Soft, Curved Padlock",7.5
S6,E2,Tarpeters,7.6
S6,E3,One Warm Prawn,7.4
S6,E4,BMXing!,7.5
S6,E5,H,7.8
S6,E6,We Met at Mealtimes,7.6
S6,E7,Roadkill Doused in Syrup,7.8
S6,E8,What Kind of Pictures?,7.4
S6,E9,The Bubble Brothers,7.8
S6,E10,He Was a Different Man,8
S7,E1,The Mean Bean,8.3
S7,E2,My Eyes Are Circles,8.1
S7,E3,Twelve Blush Majesty Two,8.3
S7,E4,OLLIE,8.5
S7,E5,Lotta Soup,8
S7,E6,A Coquettish Fascinator,8.2
S7,E7,The Perfect Stuff,8.4
S7,E8,Mother Honks Her Horn,8.2
S7,E9,The Pendulum Draws the Eye,8.3
S7,E10,I Can Hear It Gooping,8.7
S8,E1,Hello,7.7
S8,E2,A Novel About Russian Gulags,7.6
S8,E3,Stuck in a Mammal Groove,7.6
S8,E4,The Barrel Dad,7.7
S8,E5,Stay Humble,7.6
S8,E6,Rock 'n' Roll Umlaut,7.7
S8,E7,This Is Trevor,7.7
S8,E8,Aquatic Sewing Machine,7.9
S8,E9,I've Been a Bit Ill,7.7
S8,E10,Clumpy Swayey Clumsy Man,8
S9,E1,Join Our Cult,7.8
S9,E2,Butter in the Microwave,8.2
S9,E3,Five Miles Per Day,7.8
S9,E4,Quisps,8.1
S9,E5,Another Spoon,7.9
S9,E6,"Bready, Bready, Bready",7.7
S9,E7,A Cuddle,7.8
S9,E8,Shaqinahat,7.8
S9,E9,Don't Like Them Go Bang,8
S9,E10,Think About the Spirit,8.2
S10,E1,God's Haemorrhoid,7.6
S10,E2,A Documentary About Despots,7.4
S10,E3,Point of Swivel,7.7
S10,E4,Toshwash,7.4
S10,E5,I Hate Your Trainers,7.5
S10,E6,Hippopotamus,7.7
S10,E7,Legit Glass,7.5
S10,E8,Moments of Silence,7.3
S10,E9,Air Horn Andy,7.5
S10,E10,Dog Meat Trifle,7.6
S11,E1,It's Not Your Fault,7.8
S11,E2,The Lure of the Treacle Puppies,7.8
S11,E3,Run Up a Tree to the Moon,7.5
S11,E4,Premature Conker,8
S11,E5,Slap and Tong,8
S11,E6,Absolute Casserole,8.5
