Feature 1,Feature 2,Correlation,P-value,Abs_Correlation
Point Variance,Score StdDev,0.8758027344272297,1.7374830467016278e-52,0.8758027344272297
Max Points,Point Range,0.8687649480169203,1.0660916287572449e-50,0.8687649480169203
Point Variance,Point Range,0.8484600607651974,4.534270777956676e-46,0.8484600607651974
Point Variance,Max Points,0.687561649420986,5.258569980226076e-24,0.687561649420986
Point Range,Score StdDev,0.6835684992206095,1.2085217379687331e-23,0.6835684992206095
Min Points,Score StdDev,-0.5519011436010758,2.6943261787145262e-14,0.5519011436010758
Point Variance,Min Points,-0.5175448473912233,1.7623282872330204e-12,0.5175448473912233
Min Points,Point Range,-0.5084336147388264,4.94604141159732e-12,0.5084336147388264
Max Points,Score StdDev,0.47633627700270476,1.4845923608867655e-10,0.47633627700270476
Lead Changes,Winner Diversity,0.3951751807794357,1.9481722114045826e-07,0.3951751807794357
Volatility,Rank Spread,-0.3316145645396562,1.6274108397190153e-05,0.3316145645396562
Average Points,Max Points,0.327207058037625,2.137655959947456e-05,0.327207058037625
Volatility,Lead Changes,0.3118908275365272,5.33983477039184e-05,0.3118908275365272
Lead Changes,Lead Retention,-0.31026770130156306,5.8668983749265555e-05,0.31026770130156306
Average Points,Min Points,0.30388160746658144,8.451994744159485e-05,0.30388160746658144
Volatility,Winner Diversity,0.29703714335703224,0.00012384401945783298,0.29703714335703224
Lead Retention,Winner Diversity,-0.2918526299159425,0.00016437028694264158,0.2918526299159425
Volatility,Lead Retention,-0.2866006146427663,0.00021777248268506163,0.2866006146427663
Average Points,Rank Spread,0.2601025717171292,0.0008298163045750573,0.2601025717171292
Average Points,Score StdDev,-0.24468031792968148,0.0017010751555862902,0.24468031792968148
Rank Spread,Score StdDev,-0.22615423531927548,0.003806445431784348,0.22615423531927548
Score StdDev,Winner Diversity,0.20667485597240254,0.008321877493729974,0.20667485597240254
Rank Spread,Lead Changes,-0.19653138888197458,0.012191202183078703,0.19653138888197458
Volatility,Score StdDev,0.16978158259149162,0.030777340236167277,0.16978158259149162
Lead Changes,Score StdDev,0.16967841377163587,0.030880607587893648,0.16967841377163587
Rank Spread,Lead Retention,0.14523582639141452,0.06517940149950677,0.14523582639141452
Average Points,Point Range,0.13128402928643032,0.09586307934302869,0.13128402928643032
Rank Spread,Winner Diversity,-0.12365818954626051,0.1169401012490622,0.12365818954626051
Rank Spread,Min Points,0.11770111124402785,0.13578306936424125,0.11770111124402785
Lead Changes,Point Range,0.11031966799431138,0.16225226981454835,0.11031966799431138
Lead Changes,Max Points,0.10138397028175578,0.19923809217199737,0.10138397028175578
Point Variance,Rank Spread,-0.09612167401570829,0.22368981226770834,0.09612167401570829
IMDb Rating,Rank Spread,-0.08874728118180901,0.26142089605817637,0.08874728118180901
Point Variance,Lead Changes,0.08302153023339924,0.2935694440057185,0.08302153023339924
IMDb Rating,Average Points,-0.07344047196740744,0.35301282864950645,0.07344047196740744
Rank Spread,Point Range,-0.06995292414049435,0.3764020683484505,0.06995292414049435
IMDb Rating,Lead Changes,-0.06445975188268813,0.4151103567210752,0.06445975188268813
IMDb Rating,Max Points,-0.05394608403549205,0.4953645742250412,0.05394608403549205
Lead Changes,Min Points,-0.04645355640453884,0.5572065154337181,0.04645355640453884
Lead Retention,Score StdDev,-0.04572268001765506,0.563432528983703,0.04572268001765506
Max Points,Winner Diversity,0.04563826478054166,0.5641537596258047,0.04563826478054166
Point Range,Winner Diversity,0.04338725331206997,0.58354661852004,0.04338725331206997
Volatility,Max Points,0.04084138259977856,0.6058432327122905,0.04084138259977856
Average Points,Winner Diversity,-0.03795351567007539,0.631581882181575,0.03795351567007539
Volatility,Point Range,0.03744350359540351,0.6361749949855999,0.03744350359540351
IMDb Rating,Point Range,-0.03693144812870883,0.6408004928529261,0.03693144812870883
Point Variance,Winner Diversity,0.03390982897824839,0.6683724764534954,0.03390982897824839
Average Points,Lead Changes,-0.030789137329745073,0.6973209683679221,0.030789137329745073
Average Points,Point Variance,-0.029884919770112178,0.7057932783875221,0.029884919770112178
Max Points,Lead Retention,-0.02892467617219801,0.7148302421781171,0.02892467617219801
IMDb Rating,Point Variance,-0.02886271179257559,0.7154147746864681,0.02886271179257559
IMDb Rating,Volatility,0.02650638599787435,0.7377626863931026,0.02650638599787435
Point Variance,Lead Retention,0.025745998562678285,0.7450225453535487,0.025745998562678285
IMDb Rating,Score StdDev,-0.022513856271152745,0.7761255447160423,0.022513856271152745
IMDb Rating,Lead Retention,-0.020834824530688932,0.7924279398106865,0.020834824530688932
Point Range,Lead Retention,-0.020716589490429187,0.7935794175163269,0.020716589490429187
IMDb Rating,Min Points,-0.019235502914298753,0.8080405548369927,0.019235502914298753
Average Points,Lead Retention,-0.016549534876053394,0.8344292008481459,0.016549534876053394
Max Points,Min Points,-0.01527075777477338,0.847059857604499,0.01527075777477338
Rank Spread,Max Points,-0.013536474557044945,0.8642513860369377,0.013536474557044945
Volatility,Point Variance,-0.012874364185677153,0.8708320113816944,0.012874364185677153
Min Points,Lead Retention,-0.008466660818673916,0.9148441628317009,0.008466660818673916
Min Points,Winner Diversity,-0.008244803534976246,0.9170674703037714,0.008244803534976246
Volatility,Average Points,-0.007595255554300927,0.9235804441518722,0.007595255554300927
IMDb Rating,Winner Diversity,0.005221157899349956,0.9474253216886056,0.005221157899349956
Volatility,Min Points,-0.004584937953617876,0.9538241844959996,0.004584937953617876
IMDb Rating,Comeback Index,,,
IMDb Rating,Tension,,,
IMDb Rating,Score Skewness,,,
IMDb Rating,Winner Dominance,,,
IMDb Rating,Winner Margin Slope,,,
Volatility,Comeback Index,,,
Volatility,Tension,,,
Volatility,Score Skewness,,,
Volatility,Winner Dominance,,,
Volatility,Winner Margin Slope,,,
Average Points,Comeback Index,,,
Average Points,Tension,,,
Average Points,Score Skewness,,,
Average Points,Winner Dominance,,,
Average Points,Winner Margin Slope,,,
Point Variance,Comeback Index,,,
Point Variance,Tension,,,
Point Variance,Score Skewness,,,
Point Variance,Winner Dominance,,,
Point Variance,Winner Margin Slope,,,
Rank Spread,Comeback Index,,,
Rank Spread,Tension,,,
Rank Spread,Score Skewness,,,
Rank Spread,Winner Dominance,,,
Rank Spread,Winner Margin Slope,,,
Lead Changes,Comeback Index,,,
Lead Changes,Tension,,,
Lead Changes,Score Skewness,,,
Lead Changes,Winner Dominance,,,
Lead Changes,Winner Margin Slope,,,
Max Points,Comeback Index,,,
Max Points,Tension,,,
Max Points,Score Skewness,,,
Max Points,Winner Dominance,,,
Max Points,Winner Margin Slope,,,
Min Points,Comeback Index,,,
Min Points,Tension,,,
Min Points,Score Skewness,,,
Min Points,Winner Dominance,,,
Min Points,Winner Margin Slope,,,
Point Range,Comeback Index,,,
Point Range,Tension,,,
Point Range,Score Skewness,,,
Point Range,Winner Dominance,,,
Point Range,Winner Margin Slope,,,
Comeback Index,Tension,,,
Comeback Index,Score Skewness,,,
Comeback Index,Winner Dominance,,,
Comeback Index,Lead Retention,,,
Comeback Index,Score StdDev,,,
Comeback Index,Winner Diversity,,,
Comeback Index,Winner Margin Slope,,,
Tension,Score Skewness,,,
Tension,Winner Dominance,,,
Tension,Lead Retention,,,
Tension,Score StdDev,,,
Tension,Winner Diversity,,,
Tension,Winner Margin Slope,,,
Score Skewness,Winner Dominance,,,
Score Skewness,Lead Retention,,,
Score Skewness,Score StdDev,,,
Score Skewness,Winner Diversity,,,
Score Skewness,Winner Margin Slope,,,
Winner Dominance,Lead Retention,,,
Winner Dominance,Score StdDev,,,
Winner Dominance,Winner Diversity,,,
Winner Dominance,Winner Margin Slope,,,
Lead Retention,Winner Margin Slope,,,
Score StdDev,Winner Margin Slope,,,
Winner Diversity,Winner Margin Slope,,,
