Series,Episode,IMDb Rating,Volatility,Average Points,Point Variance,Rank Spread,Lead Changes,Max Points,Min Points,Point Range,Comeback Index,Tension,Score Skewness,Winner Dominance,Lead Retention,Score StdDev,Winner Diversity,Winner Margin Slope
18,1,7.0,1.05,2.56,3.2064,1.4702194904667258,3,5.0,0.0,5.0,4.0,1.0,-0.015043711160204346,5.25,3,1.6440445545455595,3,2.5
18,2,7.1,0.72,2.533333333333333,3.382222222222221,1.2713993002295483,2,8.0,0.0,8.0,0.0,4.0,0.6261779404026878,6.0,5,1.7290627959706377,4,1.3714285714285714
18,3,7.7,0.5,3.32,3.6576,1.5935445985704515,1,5.0,0.0,5.0,3.0,3.0,0.20090262645107668,5.5,3,1.795740768691735,3,2.6
18,4,7.2,0.6,3.16,4.694400000000001,1.5380849287617195,2,10.0,0.0,10.0,-1.0,4.0,0.6516986496800821,7.75,3,1.9631767776785654,4,1.5
18,5,7.9,0.47368421052631576,2.888888888888889,2.246913580246914,1.5061258985616197,4,5.0,0.0,5.0,-1.0,0.0,0.11151226452485177,4.25,4,1.4175702404773773,3,
18,6,7.8,0.6,2.64,3.4304,1.3347739566343322,1,5.0,0.0,5.0,0.0,1.0,-0.027375230646794625,6.0,1,1.6380753019285845,3,2.1
18,7,7.7,0.7,3.0,4.8,1.5256791602754578,0,5.0,-3.0,8.0,0.0,6.0,0.557657184542019,8.75,5,1.8966215266948663,3,1.7000000000000002
18,8,7.8,0.5,3.04,1.6383999999999999,1.5055923539739322,1,5.0,1.0,4.0,2.0,2.0,-0.8184255374428423,4.75,4,1.035864038221354,3,1.4
18,9,7.6,0.55,3.48,1.5296,1.5309108707149697,0,5.0,1.0,4.0,0.0,1.0,-0.2543027658961962,4.5,5,1.053266231566619,3,1.4000000000000001
18,10,7.6,1.05,2.76,3.1424000000000003,1.5806318503156755,2,5.0,0.0,5.0,0.0,3.0,-0.39976663999508055,4.0,4,1.7102465858456122,4,0.4
3,1,8.1,0.9,2.92,2.3935999999999997,1.5866623264262063,0,5.0,0.0,5.0,0.0,5.0,-0.07070855158244639,8.0,5,1.2642332270233092,4,1.9000000000000001
3,2,8.2,0.84,2.8333333333333335,2.8722222222222222,1.2418211000373802,1,5.0,0.0,5.0,3.0,3.0,0.0,5.0,5,1.6214360670232058,3,1.5999999999999999
3,3,8.1,0.72,2.933333333333333,2.262222222222222,1.5747379652381364,2,5.0,0.0,5.0,2.0,1.0,-1.025521416413097,5.5,1,1.2790574472898222,4,1.6857142857142855
3,4,8.0,0.9411764705882353,2.8076923076923075,1.9245562130177518,1.5995750746809823,3,5.0,0.0,5.0,,1.0,-0.6927284074925387,3.0,3,1.155623952033118,3,
3,5,8.1,1.1,2.68,4.137600000000001,1.4886557350635181,2,5.0,0.0,5.0,-2.0,1.0,-0.20090262645107848,4.5,4,1.9442843189025676,3,0.6000000000000001
2,1,8.3,0.3,2.88,2.5856,1.6547828378597103,2,5.0,0.0,5.0,1.0,2.0,-0.3012479719371726,7.0,4,1.219324526594038,4,2.7
2,2,8.0,0.56,3.0,3.0,1.352234950389432,1,5.0,0.0,5.0,1.0,6.0,0.557657184542019,8.75,5,1.5432853654010907,4,2.3142857142857145
2,3,8.0,0.72,4.0,12.266666666666667,1.5801858451373405,3,15.0,0.0,15.0,-1.0,3.0,-0.2656473808478021,7.5,2,3.175230552911701,4,1.3142857142857143
2,4,8.0,0.56,2.2333333333333334,3.5122222222222215,1.375834768875975,0,5.0,0.0,5.0,0.0,1.0,-0.876613580264112,5.75,6,1.6724143350578788,3,0.2571428571428572
2,5,8.2,1.15,2.72,2.3616,1.505592353973932,2,5.0,0.0,5.0,2.0,6.0,1.2332361516034989,6.75,2,1.4055859941465823,3,2.3000000000000003
1,1,8.0,0.42105263157894735,2.7777777777777777,2.4691358024691357,1.4641076988815651,3,5.0,0.0,5.0,2.0,0.0,-0.8095920178218731,5.0,1,1.2722751736919502,3,
1,2,8.3,0.55,3.12,2.1056,1.6950670639335006,2,5.0,1.0,4.0,0.0,3.0,-0.3674514164921938,6.75,5,1.1761424470585817,3,1.7000000000000002
1,3,8.2,0.25,2.625,3.171875,1.443993987944594,2,5.0,0.0,5.0,0.0,0.0,-0.3448219545279629,6.5,7,1.6251483825509616,3,
1,4,8.2,0.3,2.28,2.0416000000000003,1.511762600849854,1,5.0,1.0,4.0,1.0,1.0,0.3955562317756366,4.5,2,1.2915980309476431,3,0.9
1,5,8.1,0.88,2.6,2.64,1.639616723843757,3,5.0,0.0,5.0,2.0,2.0,-0.3958703373438166,5.5,4,1.4232452339574437,3,1.0285714285714287
1,6,7.9,0.65,2.52,2.6496000000000004,1.5380849287617195,1,5.0,0.0,5.0,1.0,2.0,0.18022440393405018,6.75,1,1.4122415106909363,3,1.9000000000000001
5,1,7.9,0.95,3.0,2.08,1.4772725717900805,0,5.0,0.0,5.0,,,,,0,1.34754793483546,3,
5,2,7.9,1.16,3.033333333333333,2.6322222222222225,1.3900976964240945,0,5.0,0.0,5.0,,,,,0,1.578296455536588,5,
5,3,8.0,0.8,2.92,2.3936,1.483493107300904,0,5.0,0.0,5.0,,,,,0,1.4412976877314214,4,
5,4,7.8,0.46875,2.5945945945945947,2.619430241051863,1.4469480171755715,0,5.0,0.0,5.0,,,,,0,1.4829707662044558,3,
5,5,8.3,1.2352941176470589,2.769230769230769,3.1005917159763308,1.657050992803697,2,5.0,0.0,5.0,,,,,0,1.7250436362228108,4,
5,6,8.2,0.8,2.7857142857142856,2.739795918367347,1.5018778868746223,2,5.0,0.0,5.0,,,,,0,1.616710988065949,4,
5,7,8.0,1.0,2.6,4.24,1.614499096287345,0,5.0,-2.0,7.0,,,,,0,2.0069656393480666,4,
5,8,8.8,0.8823529411764706,2.7037037037037037,2.8010973936899854,1.2632013577252574,2,5.0,0.0,5.0,,,,,1,1.299501024288566,5,
4,1,8.2,0.75,3.08,1.8336000000000001,1.5476424441255747,1,5.0,1.0,4.0,0.0,1.0,-0.13194826809381743,3.25,2,1.269506279826304,4,0.5
4,2,8.2,0.6,2.8666666666666667,2.8488888888888892,1.447995104358979,1,5.0,0.0,5.0,0.0,2.0,-0.8238983939499831,3.5,4,1.6172701771814744,4,0.7714285714285715
4,3,8.3,0.5,2.125,4.234375,1.4513746244543488,2,5.0,-4.0,9.0,1.0,0.0,-0.8460602244618216,6.75,4,1.8618644437813892,3,
4,4,7.9,0.48,3.2666666666666666,1.9288888888888887,1.664787899606548,2,5.0,1.0,4.0,0.0,1.0,0.04594923558454897,5.5,4,1.2229306076404218,4,1.5142857142857142
